חותמת זמן,מצב לימודים,מוסד לימודים,סיווג מקום עבודה,תחום עיסוק - אפשר לבחור שילוב של עיסוקים,שם חברה (לחברות גלובליות באנגלית/חברות ישראליות בעברית),שנות ניסיון,"שכר (בש""ח) - ברוטו!",שכר שעתי/גלובלי,"הערות: תנאים (משכורת 13, קרן השתלמות וכו') וכל דבר שכדאי לציין",קבלת רכב מהעבודה
12/01/2021 09:27:15,בוגר/ת,עזריאלי,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,0-1,10300,שעתי,,לא
12/01/2021 09:27:53,סטודנט/ית,מכללת סמי שמעון,הייטק (סטארט-אפים וחברות גדולות),QA (Software) - ידני,Britannica knowledge systems,0-1,12000,שעתי,אין ,לא
12/01/2021 09:38:48,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),מיישם SFMC,יעל תוכנה,0-1,13600,גלובלי,נותנים לי 624 שקל נסיעות יש קרן השתלמות ופנסיה,לא
12/01/2021 12:23:31,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",תעשייה אווירית,0-1,54,שעתי,"שכר סטודנט מצטיין (ממוצע מעל 85) , שנה שלישית בתואר.",לא
12/01/2021 20:32:41,סטודנט/ית,רופין,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,40,שעתי,,
12/01/2021 20:32:44,בוגר/ת,רופין,הייטק (סטארט-אפים וחברות גדולות),"ניהול פרוייקטים/ PMO, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,8500,גלובלי,,לא
13/01/2021 01:19:38,בוגר/ת,בן גוריון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, הנדסת ארגון ושיטות",,0-1,12000,גלובלי,,לא
26/01/2021 18:42:43,סטודנט/ית,בן גוריון,קוקה קולה,הנדסת ארגון ושיטות,קוקה קולה,0-1,12000,גלובלי,"משכורת 13, קרן השתלמות",
17/02/2021 23:28:32,סטודנט/ית,עזריאלי המכללה להנדסה,מוסד ממשלתי,"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע, QA (Software) - ידני",,0-1,10000,גלובלי,,לא
21/05/2021 10:35:36,סטודנט/ית,רופין,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,45,שעתי,,לא
21/05/2021 10:36:40,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,סייבר,0-1,70,שעתי,"קרןקרן השתלמות, ביטוח רפואי, תן-ביס, תשלום על חשבון אינטרנט בבית",לא
21/05/2021 10:39:31,בוגר/ת,בן גוריון,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),הנדסת ארגון ושיטות,,0-1,14500,גלובלי,,לא
21/05/2021 10:50:50,סטודנט/ית,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),NOC,,0-1,45,שעתי,כלום,לא
21/05/2021 10:55:15,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),רכש (מחלקת Production),סטארטאפ 30-40 עובדים,0-1,60,שעתי,"תן ביס 30 ליום, חניה חינם בת״א (לא מובן מאליו לדעתי חח)",לא
21/05/2021 11:32:45,בוגר/ת,אוניברסיטת אריאל,קמעונאות,ניתוח נתונים - BI/Data analyst,סלטי שמיר,0-1,9500,גלובלי,,לא
21/05/2021 11:43:13,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,,0-1,12000,גלובלי,,לא
21/05/2021 11:45:07,בוגר/ת,המרכז האקדמי לב,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",פלנר ,,0-1,14000,גלובלי,קרן השתלמות ,לא
21/05/2021 12:32:12,בוגר/ת,בראודה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",רפאל,0-1,12000,גלובלי,"בונוס רבעוני, בונוס ועד, חלוקת רווחים, קרן השתלמות, ביטוח רפואי מקיף כולל שיניים",לא
21/05/2021 12:40:54,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,תעשייה אוירית,0-1,55,שעתי,"אוכל, ביטוח בריאות, ",לא
21/05/2021 15:13:30,סטודנט/ית,בראודה,מוסד ממשלתי,משרת סטודנט בקרת פרויקטים,בינוי ושיכון,0-1,3600,שעתי,,לא
22/05/2021 22:46:37,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, הנדסת ארגון ושיטות",,0-1,12500,גלובלי,,כן
25/05/2021 15:14:34,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Pandologic,0-1,47,שעתי,,לא
25/05/2021 23:50:37,בוגר/ת,בן גוריון,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,17000,גלובלי,,לא
04/06/2021 19:13:30,בוגר/ת,מכללת אורט בראודה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",Flex,0-1,9500,שעתי,"קרן השתלמות, בונוסים",לא
13/06/2021 12:55:31,סטודנט/ית,מכללת שנקר,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,G-STAT,0-1,10000,גלובלי,יש קרן השתלמות,לא
13/06/2021 13:01:02,סטודנט/ית,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Ebay,0-1,15000,גלובלי,"קרן השתלמות, תן ביס",לא
13/06/2021 13:15:17,סטודנט/ית,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",FBC,0-1,5000,שעתי,,לא
13/06/2021 14:06:33,בוגר/ת,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",Kenshoo,0-1,15000,גלובלי,"קרן השתלמות, אופציות",לא
13/06/2021 14:07:10,סטודנט/ית,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),Noc,Radware,0-1,70,שעתי,יש קרן השתלמות אחרי חצי שנה בחברה,לא
13/06/2021 21:13:44,סטודנט/ית,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),"תפעול וייצור (תפ""י)",,0-1,9500,גלובלי,"משכורת 13, 14 + קרן השתלמות + ביטוח בריאות",לא
14/06/2021 09:41:45,סטודנט/ית,מכללת שנקר,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניתוח נתונים - BI/Data analyst,,0-1,4000,שעתי,חצי משרה,לא
15/06/2021 16:47:07,בוגר/ת,מכללת שנקר,חברת ecommerce,ניהול פרוייקטים/ PMO,פאנקו,0-1,11000,שעתי,אין,לא
15/06/2021 23:23:01,בוגר/ת,מכללת סמי שמעון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,14000,גלובלי,,לא
08/10/2021 12:45:49,בוגר/ת,רופין ,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,11000,גלובלי,אין,לא
08/10/2021 12:45:58,בוגר/ת,רופין ,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,11000,גלובלי,אין,לא
08/10/2021 12:46:29,בוגר/ת,המרכז האקדמי לב ,הייטק (סטארט-אפים וחברות גדולות),Content analyst,Ex-libris,0-1,14000,גלובלי,"סיבוס 700 ש""ח כל חודש, קרן השתלמות ",לא
08/10/2021 12:46:47,בוגר/ת,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,10000,גלובלי,,לא
08/10/2021 12:47:02,בוגר/ת,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,יילוהד,0-1,14500,גלובלי,משכורת 13 וקרן השתלמות,לא
08/10/2021 12:47:27,בוגר/ת,בן גוריון,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),מיישם סיילספורס,Deloitte,0-1,17000,גלובלי,קרן השתלמות ,לא
08/10/2021 12:48:58,סטודנט/ית,טכניון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,רפאל,0-1,2500,שעתי,,לא
08/10/2021 12:49:07,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Tperson,0-1,16000,גלובלי,,לא
08/10/2021 12:50:11,סטודנט/ית,אוניברסיטת אריאל,הבטחת איכות,ניהול פרוייקטים/ PMO,,0-1,50,שעתי,קרן השתלמות,כן
08/10/2021 12:51:21,בוגר/ת,בן גוריון,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),הנדסת ארגון ושיטות,,0-1,14500,גלובלי,,לא
08/10/2021 12:51:26,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),מרקטינג,eToro,0-1,14000,גלובלי,"תן ביס, קרן השתלמות, בונוס שנתי",לא
08/10/2021 12:52:23,סטודנט/ית,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, תפעול וייצור (תפ""י)",אלתא,0-1,10500,שעתי,"שכר שעתי של 59.25 (שכר מצטיין שנה ד), ב60% משרה ניתן להגיע ל6000 ברוטו",לא
08/10/2021 12:58:34,בוגר/ת,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),"תכנות: Frontend/Backend/Fullstack, Devops",,0-1,15000,גלובלי,קרן השתלמות,לא
08/10/2021 13:00:56,בוגר/ת,מכללת ספיר,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,Eldan ,0-1,9000,גלובלי," ק.השתלמות , סיבוס , בונוס חודשי 2000 שח , בונוס רבעוני לפי ביצועי החברה",כן
08/10/2021 13:09:37,סטודנט/ית,מכללת שנקר,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,Elta,0-1,55,שעתי,לא,לא
08/10/2021 13:36:12,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,0-1,10000,שעתי,,לא
08/10/2021 14:22:54,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,Flex,0-1,50,שעתי,"קרן השתלמות , ארוחות",לא
08/10/2021 15:19:21,בוגר/ת,"או""פ (אוניברסיטה פתוחה)",מוסד ממשלתי,"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",מועצה להשכלה גבוהה,0-1,12000,גלובלי,,לא
09/10/2021 11:28:05,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),PPC marketing Analyst,,0-1,11000,גלובלי,,לא
09/10/2021 13:23:44,בוגר/ת,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),מדעי נתונים - Data science,Checkpoint ,0-1,12000,גלובלי,קרן השתלמות,לא
11/10/2021 12:33:25,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,Nvidia,0-1,18000,גלובלי,,לא
12/10/2021 13:42:33,סטודנט/ית,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",אל על,0-1,12000,גלובלי,קרן השתלמות מהיום הראשון,לא
24/10/2021 23:06:11,סטודנט/ית,טכניון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,0-1,0,שעתי,,
23/02/2022 11:10:28,בוגר/ת,מכללת שנקר,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י), תכנון ובקרה",Applied Materials,0-1,13000,גלובלי,"קרן השתלמות, ארוחות, ימי חופש",לא
23/02/2022 11:56:19,סטודנט/ית,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),Data engineer ,Smartech,0-1,13500,שעתי,משכורת שעתית של 75 שח לשעה עבדתי 4 פעמים בשבוע קרן השתלמות מגיעה רק למשרה מלאה,לא
10/04/2022 13:18:00,סטודנט/ית,אוניברסיטת תל אביב,הייטק (סטארט-אפים וחברות גדולות),מדעי נתונים - Data science,Intel,0-1,105,שעתי,,לא
